estimator,estimate,se,lower,upper,rep,truth
AIPW,0.060863619831673495,0.0067684316135486625,0.047597737532656205,0.07412950213069079,12,0.06088195726098464
TMLE,0.06024365974428996,0.006766505429695318,0.046981552696282604,0.07350576679229731,12,0.06088195726098464
Naive comparison,0.09511830604699517,0.004665232491012961,0.08597461831297945,0.10426199378101089,13,0.06088195726098464
Outcome regression,0.054838159622677816,,,,13,0.06088195726098464
IPW,0.05903859759139962,0.006411134906169353,0.046473003976164315,0.07160419120663493,13,0.06088195726098464
AIPW,0.05737188357080464,0.006315154460730034,0.04499440817333436,0.06974935896827492,13,0.06088195726098464
TMLE,0.05742627624496373,0.006316290317188642,0.04504657460972541,0.06980597788020204,13,0.06088195726098464
Naive comparison,0.10000140262171998,0.004651824873077199,0.0908839933361841,0.10911881190725586,14,0.06088195726098464
Outcome regression,0.05586096503011828,,,,14,0.06088195726098464
IPW,0.0602864349355703,0.00765717907309455,0.04527863961075161,0.07529423026038899,14,0.06088195726098464
AIPW,0.05778399464048161,0.007313923213452592,0.043448968443350215,0.07211902083761301,14,0.06088195726098464
TMLE,0.057715355931348855,0.007383114012193927,0.0432447182595532,0.07218599360314451,14,0.06088195726098464
Naive comparison,0.09995606763753379,0.004644931945697643,0.09085216824151646,0.10905996703355111,15,0.06088195726098464
Outcome regression,0.05835577870834663,,,,15,0.06088195726098464
IPW,0.06674740127968808,0.00655001783392077,0.05390960212584539,0.07958520043353076,15,0.06088195726098464
AIPW,0.06535298444646655,0.006504937268435579,0.052603541578074474,0.07810242731485861,15,0.06088195726098464
TMLE,0.06547401472479446,0.006476569111736087,0.05278017242227975,0.07816785702730916,15,0.06088195726098464
Naive comparison,0.09867469168291391,0.004688427610049632,0.0894855423506106,0.10786384101521723,16,0.06088195726098464
Outcome regression,0.05676319522006935,,,,16,0.06088195726098464
IPW,0.05941465832905796,0.006827737037545313,0.04603253953400249,0.07279677712411342,16,0.06088195726098464
AIPW,0.058409350632777655,0.0066231309999195175,0.045428252305651395,0.07139044895990392,16,0.06088195726098464
TMLE,0.05874180969147977,0.006630467230606862,0.04574633261631062,0.07173728676664892,16,0.06088195726098464
Naive comparison,0.09670561751276709,0.004666564489914577,0.08755931910885616,0.10585191591667802,17,0.06088195726098464
Outcome regression,0.05496306551359497,,,,17,0.06088195726098464
IPW,0.05729622273772271,0.007459523174481785,0.04267582585857269,0.07191661961687273,17,0.06088195726098464
AIPW,0.05565683384726763,0.007306838776975286,0.04133569289059204,0.06997797480394322,17,0.06088195726098464
TMLE,0.055634659376405445,0.007325961477708603,0.04127603861470978,0.0699932801381011,17,0.06088195726098464
Naive comparison,0.10450138119711046,0.004668763045696725,0.09535077370301452,0.1136519886912064,18,0.06088195726098464
Outcome regression,0.06386495229585261,,,,18,0.06088195726098464
IPW,0.07374474565124475,0.006337351508974022,0.061323764838309994,0.08616572646417951,18,0.06088195726098464
AIPW,0.07359855531814613,0.006222156843605321,0.06140335190232607,0.08579375873396619,18,0.06088195726098464
TMLE,0.07397190046780745,0.006198184034604506,0.061823682894607865,0.08612011804100704,18,0.06088195726098464
Naive comparison,0.08996725124559295,0.004616640772819538,0.08091880152993447,0.09901570096125142,19,0.06088195726098464
Outcome regression,0.04769416463692952,,,,19,0.06088195726098464
IPW,0.05532152940626496,0.006231083785511206,0.04310882950567928,0.06753422930685064,19,0.06088195726098464
AIPW,0.05429041550736552,0.006124331452501572,0.04228694633639473,0.06629388467833632,19,0.06088195726098464
TMLE,0.054222128511381,0.006120043860316573,0.04222706286673949,0.06621719415602251,19,0.06088195726098464
Naive comparison,0.09854724291141106,0.0047232274976780845,0.08928988705215193,0.1078045987706702,20,0.06088195726098464
Outcome regression,0.05461317723882582,,,,20,0.06088195726098464
IPW,0.059835052232533756,0.007700181683664061,0.04474297333909281,0.07492713112597471,20,0.06088195726098464
AIPW,0.058439615929466206,0.007579076148322407,0.04358489952549563,0.07329433233343678,20,0.06088195726098464
TMLE,0.05839650259917163,0.007561074853573731,0.04357706808486185,0.07321593711348141,20,0.06088195726098464
Naive comparison,0.09792879776659205,0.00468100030743676,0.08875420568002707,0.10710338985315704,21,0.06088195726098464
Outcome regression,0.05056973777074918,,,,21,0.06088195726098464
IPW,0.05490306910039819,0.0066871820317437845,0.041796433056733515,0.06800970514406286,21,0.06088195726098464
AIPW,0.05454092560008097,0.006592178250565911,0.0416204935473888,0.06746135765277313,21,0.06088195726098464
TMLE,0.054470781947130176,0.006588327573584134,0.04155789708269792,0.06738366681156244,21,0.06088195726098464
Naive comparison,0.09846916750606023,0.004633744854222067,0.08938719440659973,0.10755114060552073,22,0.06088195726098464
Outcome regression,0.055532466292941125,,,,22,0.06088195726098464
IPW,0.06483969194271083,0.006037407284498389,0.05300659101175623,0.07667279287366544,22,0.06088195726098464
AIPW,0.06301875516124994,0.005900603958092642,0.051453783825130855,0.07458372649736902,22,0.06088195726098464
TMLE,0.06346932838028452,0.005890417359900052,0.05192432240990537,0.07501433435066367,22,0.06088195726098464
Naive comparison,0.09661088054255856,0.004621897163453692,0.08755212849048721,0.10566963259462991,23,0.06088195726098464
Outcome regression,0.05931446571311775,,,,23,0.06088195726098464
IPW,0.06817368179967181,0.006134364648309704,0.05615054792611213,0.0801968156732315,23,0.06088195726098464
AIPW,0.06697892007794044,0.006068559191980339,0.05508476252978989,0.078873077626091,23,0.06088195726098464
TMLE,0.06739337628881709,0.006030598813748987,0.05557361971542636,0.07921313286220781,23,0.06088195726098464
Naive comparison,0.10321096150223764,0.004632635148337454,0.09413116338636157,0.11229075961811372,24,0.06088195726098464
Outcome regression,0.061408657653121736,,,,24,0.06088195726098464
IPW,0.06506580739764553,0.006689623036458826,0.05195438707261554,0.07817722772267552,24,0.06088195726098464
AIPW,0.0633017614663131,0.006512585845103974,0.05053732766299973,0.07606619526962646,24,0.06088195726098464
TMLE,0.0633896535787464,0.00651818079059258,0.05061425388369341,0.0761650532737994,24,0.06088195726098464
Naive comparison,0.09449070664105647,0.004578839473480178,0.08551634611125636,0.10346506717085657,25,0.06088195726098464
Outcome regression,0.053357112913073025,,,,25,0.06088195726098464
IPW,0.06109619067884879,0.006563318873872905,0.04823232196553735,0.07396005939216023,25,0.06088195726098464
AIPW,0.05911280039557113,0.0064707573339260974,0.04643034896834,0.07179525182280226,25,0.06088195726098464
TMLE,0.05935843477854762,0.006451715666068083,0.046713304334818156,0.07200356522227708,25,0.06088195726098464
Naive comparison,0.09390145710821148,0.004662343641960392,0.08476343141434022,0.10303948280208274,26,0.06088195726098464
Outcome regression,0.05218069042585939,,,,26,0.06088195726098464
IPW,0.05900087231889044,0.006564508498551292,0.046134671984035855,0.07186707265374502,26,0.06088195726098464
AIPW,0.0578578099718537,0.006532990423676984,0.04505338392910206,0.07066223601460533,26,0.06088195726098464
TMLE,0.05785273645772146,0.006508121699973416,0.045097052218154764,0.07060842069728816,26,0.06088195726098464
Naive comparison,0.10354292440085874,0.004660847647656537,0.09440783080196724,0.11267801799975025,27,0.06088195726098464
Outcome regression,0.06269524317780749,,,,27,0.06088195726098464
IPW,0.0720534742869429,0.006860705738796559,0.05860673802430825,0.08550021054957757,27,0.06088195726098464
AIPW,0.0695593656679251,0.006767795825683497,0.056294729490235174,0.08282400184561503,27,0.06088195726098464
